,제목,문안
0,KB다이렉트 공식 운전자보험,"이름,전화번호 입력없이 간편 운전자보험료계산, 직접가입하니까 저렴한 보험료확인."
1,메리츠 운전자보험 공식사이트,보험가입하러 나오지마세요. 메리츠가 전화드릴게요. 집에서 전화로 안심상담받기
2,DB손해보험 공식 운전자보험,"운전자보험, 한 상품으로 교통사고,상해,주택손해 보장을 한번에!(특약)"
3,캐롯 990 운전자보험,"합리적인 운전자보험 찾는다면? 캐롯  990운전자보험, 보험료 바로 확인하기"
4,삼성화재 다이렉트 운전자보험,"같은 보장이라면, 다이렉트가 더욱 저렴"
5,공식 메리츠 운전자보험,"나를 위한 운전자보험! 벌금, 변호사선임비용 등 형사합의금 알아보세요!(특약)"
6,메리츠운전자보험M-Drive,"운전자보험 온라인보험가입센터, 무료상담진행중,친절한상담."
7,DB 다이렉트 운전자보험,"운전자보험, 10초 간편가입으로 교통사고처리지원금, 변호사선임비용 보장(특약)"
8,롯데손보공식사이트 운전자보험,"롯데손해보험 운전자보험, 특약가입시 형사 합의금, 벌금, 변호사 선임비용 보장."
9,운전자보험 롯데손보공식사이트,"운전자보험 특약가입시 9대 중과실 사고, 형사 합의금, 벌금, 변호사선임비용까지!"
